u1	y1
0.01000	-2.06615	
0.01000	37.69017	
0.01000	35.79048	
0.01000	35.63985	
0.01000	9.84313	
0.01000	13.02192	
0.01000	-1.11246	
0.01000	-21.46569	
0.01000	-6.03535	
0.01000	33.41015	
0.01000	30.41180	
0.01000	4.91970	
0.01000	-11.62299	
0.01000	-10.32109	
0.01000	-16.89949	
0.01000	-34.09592	
0.01000	-102.23748	
0.01000	-86.96772	
0.01000	-85.60979	
0.01000	-83.41770	
0.01000	-83.80039	
0.01000	-80.26697	
0.01000	-71.39336	
0.01000	-82.76628	
0.01000	-78.48703	
0.01000	-99.39628	
0.01000	-82.32396	
0.01000	-82.69072	
0.01000	-80.77756	
0.01000	-73.35867	
0.01000	-48.91061	
0.01000	-59.14162	
0.01000	-70.80256	
0.01000	-65.78498	
0.01000	-55.50058	
0.01000	-63.07479	
0.01000	-81.18121	
0.01000	-57.42210	
0.01000	7.55991	
0.01000	-17.34505	
0.01000	-33.38791	
0.01000	-29.27291	
0.01000	-41.74182	
0.01000	-22.78927	
0.01000	-22.58312	
0.01000	-40.67667	
0.01000	-55.29884	
0.01000	-63.29367	
0.01000	-64.35662	
0.01000	-64.84395	
0.01000	-51.34053	
0.01000	-56.89826	
0.01000	-65.57068	
0.01000	-55.78649	
0.01000	-34.45756	
0.01000	-43.53180	
0.01000	-37.97292	
0.01000	-7.77649	
0.01000	-22.68003	
0.01000	-37.12168	
0.01000	-39.01918	
0.01000	-36.24932	
0.01000	3.72265	
0.01000	-28.30623	
0.01000	-6.20501	
0.01000	-26.88166	
0.01000	-9.18368	
0.01000	8.71318	
0.01000	18.70789	
0.01000	35.86870	
0.01000	53.48705	
0.01000	58.96953	
0.01000	27.31843	
0.01000	25.54587	
0.01000	50.71836	
0.01000	33.33171	
0.01000	55.73753	
0.01000	66.33509	
0.01000	104.34916	
0.01000	113.27329	
0.01000	130.27673	
0.01000	140.30525	
0.01000	155.64347	
0.01000	144.06605	
0.01000	133.21245	
0.01000	143.33442	
0.01000	138.73927	
0.01000	170.09490	
0.01000	164.16139	
0.01000	172.65710	
0.01000	150.52778	
0.01000	138.41499	
0.01000	149.07092	
0.01000	134.17956	
0.01000	135.99121	
0.01000	132.43023	
