u	y
6.41000	4.76610	
3.41000	4.76366	
6.41000	4.83936	
6.41000	5.00298	
6.41000	5.01763	
6.41000	5.05670	
6.41000	5.15438	
6.41000	5.36195	
6.41000	5.42544	
6.41000	5.56952	
6.41000	5.68185	
3.41000	5.74290	
3.41000	5.80395	
3.41000	5.91873	
3.41000	5.82105	
3.41000	5.44742	
3.41000	5.06159	
3.41000	4.62935	
3.41000	4.26794	
3.41000	4.01152	
3.41000	3.85035	
6.41000	3.71116	
3.41000	3.56952	
3.41000	3.51824	
6.41000	3.65255	
6.41000	3.81861	
6.41000	3.86256	
6.41000	4.01152	
6.41000	4.35341	
3.41000	4.70505	
3.41000	5.08356	
3.41000	5.34486	
3.41000	5.27404	
3.41000	5.12752	
3.41000	4.76122	
3.41000	4.45109	
3.41000	4.22154	
3.41000	4.04571	
3.41000	3.87477	
3.41000	3.73069	
3.41000	3.66232	
3.41000	3.57685	
3.41000	3.54266	
3.41000	3.47917	
3.41000	3.45475	
3.41000	3.35951	
3.41000	3.29846	
3.41000	3.22520	
3.41000	3.20078	
6.41000	3.22520	
6.41000	3.22764	
6.41000	3.27404	
3.41000	3.45719	
3.41000	3.86745	
3.41000	4.32166	
3.41000	4.49260	
3.41000	4.43155	
3.41000	4.24352	
6.41000	4.05060	
3.41000	3.85768	
3.41000	3.73069	
3.41000	3.79174	
3.41000	3.92117	
3.41000	3.95536	
6.41000	3.84791	
6.41000	3.72581	
6.41000	3.61104	
6.41000	3.71604	
6.41000	4.09211	
6.41000	4.48039	
6.41000	4.81494	
6.41000	5.05426	
6.41000	5.30334	
6.41000	5.48649	
3.41000	5.67209	
3.41000	5.77953	
3.41000	5.79907	
3.41000	5.66476	
3.41000	5.29113	
3.41000	4.88088	
3.41000	4.55853	
3.41000	4.18491	
3.41000	3.88942	
6.41000	3.70872	
6.41000	3.62325	
6.41000	3.56952	
3.41000	3.71848	
3.41000	4.03350	
3.41000	4.41201	
3.41000	4.62935	
6.41000	4.55853	
6.41000	4.39492	
6.41000	4.18002	
6.41000	4.19712	
6.41000	4.43155	
6.41000	4.71482	
6.41000	4.96146	
3.41000	5.30090	
3.41000	5.56708	
3.41000	5.68185	
3.41000	5.54510	
3.41000	5.18857	
3.41000	4.88332	
3.41000	4.60005	
3.41000	4.27038	
3.41000	4.03839	
3.41000	3.83814	
3.41000	3.71116	
3.41000	3.59150	
3.41000	3.53533	
3.41000	3.48649	
3.41000	3.47673	
3.41000	3.42544	
3.41000	3.38149	
3.41000	3.36928	
3.41000	3.36439	
3.41000	3.34730	
3.41000	3.38149	
6.41000	3.42056	
6.41000	3.41323	
6.41000	3.45231	
6.41000	3.63546	
6.41000	4.03839	
6.41000	4.37538	
